"","id","draft_date","community","housing_type","gender","tenure","years_in_community","adult_count","child_count","hh_size","rooms_in_hh","density","primary_dw_source","dw_reason_convenience","dw_reason_affordable","dw_reason_available","dw_reason_cold","dw_reason_clean","dw_reason_taste","dw_reason_habit","dw_reason_trustworthy","dw_reason_health","dw_reason_other","primary_water_source","secondary_water_source","payment_mode_primary","payment_mode_secondary","daily_hh_water_cost","daily_hh_water_cost_phhm","storage","binary_struggle","time_of_last_struggle","weekdays_struggle","coping_sachet_to_cook","coping_skipped_cooking","coping_sachet_to_bathe","coping_skipped_bathing","coping_closed_business","coping_skipped_laundry"
"23",23,2023-11-08 12:53:39,"kg","compound_house","female","no_payment",30,1,0,1,1,1,"packaged",0,0,0,0,1,0,0,1,0,0,"piped_to_compound","commercial_tap","shares_bill","pay_to_fetch",NA,NA,300,"Yes","last_7_days",0,0,0,0,0,0,0
"24",24,2023-11-08 13:13:17,"kg","multistory_apt","female","rented",3,2,2,4,2,2,"packaged",0,0,0,0,1,0,0,0,0,0,"piped_to_compound","commercial_tap","pay_to_fetch","pay_to_fetch",7,1.75,775,"No","have_not_struggled",0,0,0,0,0,0,0
"25",46,2023-11-12 13:55:59,"abuja","wood_shack","male","rented",19,2,3,5,1,5,"packaged",0,0,0,0,0,1,0,0,0,0,"commercial_tap",NA,"pay_to_fetch","na",4.57142857142857,0.914285714285714,0,"No","have_not_struggled",0,0,0,0,0,0,0
"26",26,2023-11-08 13:48:44,"kg","compound_house","male","rented",20,5,2,7,1,7,"piped_to_compound",1,0,1,0,0,0,0,0,0,0,"piped_to_compound","commercial_tap","pay_to_fetch","pay_to_fetch",20,2.85714285714286,450,"Yes","last_3_days",4,1,0,1,0,0,1
"27",27,2023-11-08 14:05:03,"kg","compound_house","female","no_payment",60,4,3,7,1,7,"packaged",0,0,0,0,1,0,0,0,0,0,"piped_to_compound","commercial_tap","shares_bill","pay_to_fetch",10,1.42857142857143,450,"Yes","last_3_days",0.5,1,0,1,0,0,1
"28",47,2023-11-12 14:08:29,"abuja","wood_shack","female","rented",0,7,2,9,1,9,"packaged",0,0,0,0,1,1,0,0,0,0,"commercial_tap",NA,"pay_to_fetch","na",14,1.55555555555556,0,"Yes","last_7_days",2,0,0,0,0,0,1
"29",29,2023-11-08 14:48:22,"kg","compound_house","female","no_payment",27,1,0,1,10,0.1,"piped_to_compound",1,0,0,0,0,0,0,0,0,0,"piped_to_compound","commercial_tap","pay_to_fetch","pay_to_fetch",14,7,150,"Yes","last_7_days",1,1,0,0,0,0,0
"30",30,2023-11-08 15:16:54,"kg","compound_house","female","owned",21,5,4,9,2,4.5,"packaged",0,0,0,0,1,0,0,1,0,0,"piped_to_compound","commercial_tap","pay_to_fetch","pay_to_fetch",5,0.555555555555556,100,"Yes","last_year",0,0,0,1,0,0,0
"31",31,2023-11-10 10:20:23,"kg","compound_house","female","owned",20,2,2,4,3,1.33333333333333,"packaged",0,0,0,0,1,0,0,0,0,0,"piped_to_compound","commercial_tap","shares_bill","pay_to_fetch",NA,NA,200,"Yes","last_7_days",0,0,0,0,1,0,0
"32",48,2023-11-12 14:24:34,"abuja","no_structure","female","rented",3,10,0,10,NA,NA,"packaged",0,0,1,1,0,0,0,0,0,0,"commercial_tap",NA,"pay_to_fetch","na",21.5,2.15,20,"No","have_not_struggled",0,0,0,0,0,0,0
"33",49,2023-11-12 14:38:50,"abuja","wood_shack","female","rented",0,7,7,14,1,14,"packaged",0,0,0,0,0,1,0,0,0,0,"commercial_tap",NA,"pay_to_fetch","na",15.5,1.10714285714286,0,"Yes","last_7_days",1,0,0,1,0,0,0
"34",34,2023-11-10 11:21:15,"kg","compound_house","female","no_payment",9,2,3,5,1,5,"packaged",0,0,0,0,1,0,0,0,0,0,"piped_to_compound","commercial_tap","shares_bill","pay_to_fetch",NA,NA,350,"Yes","last_30_days",0,0,0,0,0,0,0
"35",35,2023-11-10 11:37:52,"kg","house","female","owned",70,2,2,4,3,1.33333333333333,"packaged",1,0,1,0,0,1,0,1,0,0,"piped_to_home",NA,"shares_bill","na",NA,NA,2000,"Yes","over_year_ago",0,0,0,0,0,0,0
"36",50,2023-11-12 14:48:33,"abuja","no_structure","female","rented",28,3,1,4,1,4,"packaged",0,0,0,1,1,1,0,0,0,0,"commercial_tap",NA,"pay_to_fetch","na",13.5,3.375,0,"Yes","over_year_ago",0,1,0,1,0,0,1
"37",37,2023-11-10 12:25:45,"kg","multistory_apt","female","rented",15,2,0,2,1,2,"packaged",0,0,1,0,1,0,0,0,0,0,"piped_to_compound","commercial_tap","shares_bill","pay_to_fetch",NA,NA,200,"Yes","last_7_days",0,1,0,0,0,0,0
"38",38,2023-11-10 12:42:27,"kg","multistory_apt","male","no_payment",17,3,2,5,1,5,"packaged",0,0,0,0,0,0,1,0,0,0,"piped_to_compound","commercial_tap","shares_bill","pay_to_fetch",NA,NA,600,"Yes","have_not_struggled",0,0,0,0,0,0,0
"39",39,2023-11-10 13:04:46,"kg","compound_house","female","no_payment",7,2,3,5,2,2.5,"packaged",0,0,0,0,1,0,0,1,1,0,"piped_to_compound","commercial_tap","pay_to_fetch","pay_to_fetch",4.14285714285714,0.828571428571429,200,"Yes","last_7_days",0,1,0,1,1,0,1
"40",51,2023-11-12 15:00:42,"abuja","other","female","rented",4,1,0,1,1,1,"packaged",0,0,0,1,0,1,0,0,0,0,"commercial_tap",NA,"pay_to_fetch","na",4.64285714285714,4.64285714285714,0,"Yes","over_year_ago",0,1,0,1,1,0,1
"41",41,2023-11-10 13:37:26,"kg","compound_house","female","rented",25,2,4,6,1,6,"packaged",0,0,0,0,0,1,0,1,0,0,"piped_to_compound","delivered","shares_bill","pay_to_fetch",5,0.833333333333333,50,"Yes","last_30_days",0,0,1,0,1,0,0
