"","id","draft_date","community","housing_type","gender","tenure","years_in_community","adult_count","child_count","hh_size","rooms_in_hh","density","primary_dw_source","dw_reason_convenience","dw_reason_affordable","dw_reason_available","dw_reason_cold","dw_reason_clean","dw_reason_taste","dw_reason_habit","dw_reason_trustworthy","dw_reason_health","dw_reason_other","primary_water_source","secondary_water_source","payment_mode_primary","payment_mode_secondary","daily_hh_water_cost","daily_hh_water_cost_phhm","storage","binary_struggle","time_of_last_struggle","weekdays_struggle","coping_sachet_to_cook","coping_skipped_cooking","coping_sachet_to_bathe","coping_skipped_bathing","coping_closed_business","coping_skipped_laundry"
"92",92,2023-11-20 12:00:15,"kg","compound_house","male","owned",67,3,2,5,2,2.5,"packaged",0,0,0,0,1,0,0,1,0,0,"piped_to_home","commercial_tap","shares_bill","pay_to_fetch",1,0.2,300,"Yes","over_year_ago",0,0,0,0,0,0,0
"93",93,2023-11-22 09:49:46,"kg","compound_house","female","no_payment",66,2,0,2,2,1,"packaged",0,0,0,0,0,0,1,0,0,NA,"piped_to_compound",NA,"pay_to_fetch","na",4.05714285714286,2.02857142857143,700,"Yes","over_year_ago",0,0,0,0,0,0,0
"94",94,2023-11-22 10:16:46,"kg","block_unit","female","no_payment",28,2,3,5,1,5,"packaged",0,0,0,0,1,0,0,1,0,0,"piped_to_compound",NA,"pay_to_fetch","na",2.51428571428571,0.502857142857143,600,"Yes","over_year_ago",0,1,0,0,0,0,1
"95",95,2023-11-22 10:40:34,"kg","compound_house","female","rented",4,1,0,1,1,1,"packaged",0,0,0,0,1,0,0,0,0,0,"piped_to_compound",NA,"pay_to_fetch","na",11,11,1000,"Yes","last_7_days",0,1,1,1,1,1,1
"96",96,2023-11-22 10:59:03,"kg","compound_house","female","no_payment",12,2,4,6,1,6,"packaged",0,0,0,0,1,0,0,0,1,0,"commercial_tap",NA,"pay_to_fetch","na",4.5,0.75,750,"Yes","last_year",1,1,0,0,0,0,0
"97",97,2023-11-22 11:21:06,"kg","compound_house","female","no_payment",73,2,0,2,1,2,"piped_to_compound",0,0,0,0,0,1,0,0,0,0,"piped_to_compound","borehole","pay_to_fetch","pay_to_fetch",1.62857142857143,0.814285714285714,400,"Yes","over_year_ago",0,0,0,0,0,0,0
"98",98,2023-11-22 11:34:50,"kg","compound_house","female","rented",70,2,0,2,1,2,"packaged",0,0,0,0,0,0,0,0,1,0,"piped_to_compound",NA,"shares_bill","na",NA,NA,375,"No","have_not_struggled",0,1,0,0,0,0,0
"99",99,2023-11-22 11:53:52,"kg","compound_house","female","no_payment",30,1,1,2,1,2,"packaged",0,0,0,0,1,0,0,1,0,0,"piped_to_compound","commercial_tap","shares_bill","pay_to_fetch",NA,NA,500,"Yes","last_year",0,0,1,1,0,0,0
"100",100,2023-11-22 12:13:28,"kg","compound_house","female","no_payment",73,4,2,6,3,2,"piped_to_compound",0,1,0,0,0,0,0,1,0,0,"piped_to_compound",NA,"shares_bill","na",NA,NA,800,"Yes","over_year_ago",0,0,0,0,0,0,0
"101",101,2023-11-22 12:34:23,"kg","compound_house","female","rented",13,2,5,7,2,3.5,"piped_to_compound",0,1,0,0,0,1,0,0,0,0,"piped_to_compound",NA,"pay_to_fetch","na",2.2,0.314285714285714,1500,"Yes","last_3_days",2,1,0,0,0,0,0
"102",102,2023-11-22 12:49:39,"kg","compound_house","female","rented",11,2,2,4,1,4,"packaged",0,0,0,0,1,0,0,0,0,0,"piped_to_compound","commercial_tap","shares_bill","pay_to_fetch",NA,NA,500,"Yes","last_7_days",0,0,0,0,0,0,0
"103",103,2023-11-22 13:05:08,"kg","block_unit","female","rented",4,1,2,3,1,3,"packaged",0,0,0,0,1,0,0,1,1,0,"piped_to_compound","commercial_tap","pay_to_fetch","pay_to_fetch",5,1.66666666666667,150,"Yes","last_7_days",1,1,0,1,0,0,1
"104",104,2023-11-22 13:17:07,"kg","compound_house","female","no_payment",30,2,2,4,1,4,"packaged",0,0,0,0,1,0,0,0,0,0,"piped_to_compound",NA,"pay_to_fetch","na",4.45714285714286,1.11428571428571,250,"Yes","last_7_days",3,1,0,1,0,1,1
"105",105,2023-11-23 10:12:21,"kg","compound_house","female","no_payment",55,4,2,6,2,3,"piped_to_compound",0,0,0,0,0,1,1,0,0,0,"piped_to_compound","commercial_tap","pay_to_fetch","pay_to_fetch",10.5,1.75,375,"Yes","over_year_ago",0,1,1,0,1,0,0
"106",106,2023-11-23 10:30:49,"kg","compound_house","female","no_payment",30,2,4,6,1,6,"packaged",0,0,0,0,1,0,0,1,0,1,"commercial_tap",NA,"pay_to_fetch","na",15,2.5,0,"Yes","last_7_days",3,1,1,1,1,0,0
"107",107,2023-11-23 10:40:52,"kg","compound_house","female","rented",55,4,2,6,1,6,"packaged",0,0,1,0,0,0,1,0,0,0,"commercial_tap",NA,"pay_to_fetch","na",6.17142857142857,1.02857142857143,450,"No","have_not_struggled",0,0,0,0,0,0,0
"108",108,2023-11-23 11:03:39,"kg","compound_house","female","rented",10,1,3,4,2,2,"packaged",0,0,0,0,1,0,0,0,0,1,"piped_to_compound","commercial_tap","pay_to_fetch","pay_to_fetch",1,0.25,500,"Yes","over_year_ago",0,1,0,1,0,0,0
"109",109,2023-11-23 11:19:22,"kg","compound_house","male","no_payment",50,4,2,6,2,3,"packaged",0,0,1,0,0,0,0,0,0,0,"piped_to_compound","commercial_tap","pay_to_fetch","pay_to_fetch",3.2,0.533333333333333,650,"Yes","last_3_days",3,0,1,0,0,0,0
"110",110,2023-11-23 11:35:27,"kg","compound_house","female","no_payment",8,3,4,7,1,7,"packaged",0,0,0,0,0,0,0,1,0,0,"piped_to_compound","commercial_tap","pay_to_fetch","pay_to_fetch",6,0.857142857142857,600,"Yes","last_3_days",2,0,0,0,0,0,0
"111",111,2023-11-23 11:56:29,"kg","compound_house","female","rented",5,2,0,2,1,2,"packaged",0,0,0,0,1,0,0,0,0,0,"piped_to_compound","commercial_tap","shares_bill","pay_to_fetch",NA,NA,200,"Yes","last_7_days",0,1,1,1,1,0,1
"112",112,2023-11-23 12:10:47,"kg","compound_house","female","no_payment",13,2,2,4,1,4,"packaged",0,0,0,0,0,1,0,0,0,0,"commercial_tap","borehole","pay_to_fetch","pay_to_fetch",7,1.75,775,"Yes","last_7_days",0,0,0,0,0,0,1
"113",113,2023-11-23 12:31:03,"kg","compound_house","female","rented",70,3,1,4,2,2,"packaged",0,0,1,0,1,0,0,0,0,0,"borehole",NA,"pay_to_fetch","na",3,0.75,790,"No","have_not_struggled",0,1,0,0,0,0,0
"114",114,2023-11-23 12:55:20,"kg","compound_house","female","rented",7,1,0,1,1,1,"packaged",0,0,0,0,0,0,0,1,0,0,"piped_to_compound","borehole","pay_to_fetch","pay_to_fetch",0.571428571428571,0.571428571428571,250,"No","have_not_struggled",0,0,0,0,0,0,0
"115",115,2023-11-23 13:17:23,"kg","compound_house","female","owned",20,3,0,3,1,3,"packaged",0,0,1,0,1,1,0,0,0,0,"commercial_tap","borehole","pay_to_fetch","pay_to_fetch",1.35714285714286,0.452380952380952,1050,"Yes","last_3_days",0,0,0,0,0,0,0
"116",116,2023-11-23 13:39:19,"kg","compound_house","female","rented",17,2,3,5,3,1.66666666666667,"packaged",0,0,0,0,1,0,0,0,0,0,"piped_to_compound","commercial_tap;borehole","pay_to_fetch","pay_to_fetch",4.8,0.96,260,"Yes","over_year_ago",0,1,0,1,0,0,1
